ref,instru,mjd,freq,flux,flux_min,flux_max,uerr,lerr,nepoch,obs
Yuan et al. 2003,,,52761.46737,0.006496417,,,,,,FALSE
Yuan et al. 2003,,,72210.95131,0.004023868,,,,,,FALSE
Yuan et al. 2003,,,106895.8433,0.002162461,,,,,,FALSE
Yuan et al. 2003,,,164571.3926,0.001075624,,,,,,FALSE
Yuan et al. 2003,,,243619.5269,0.000570751,,,,,,FALSE
Yuan et al. 2003,,,308266.7943,0.000382374,,,,,,FALSE
Yuan et al. 2003,,,421903.3242,0.000230898,,,,,,FALSE
Yuan et al. 2003,,,493578.2885,0.00018057,,,,,,FALSE
Yuan et al. 2003,,,790287.9303,9.44E-05,,,,,,FALSE
Yuan et al. 2003,,,1265361.6,5.33E-05,,,,,,FALSE
Yuan et al. 2003,,,2026021.045,3.33E-05,,,,,,FALSE
Yuan et al. 2003,,,2370211.237,2.92E-05,,,,,,FALSE
Yuan et al. 2003,,,3180939.186,2.35E-05,,,,,,FALSE
Yuan et al. 2003,,,6076390.217,1.20E-05,,,,,,FALSE
Yuan et al. 2003,,,8316332.732,8.63E-06,,,,,,FALSE
Yuan et al. 2003,,,12803402.05,5.26E-06,,,,,,FALSE
Yuan et al. 2003,,,15577733.11,4.01E-06,,,,,,FALSE
Yuan et al. 2003,,,20500038.89,2.97E-06,,,,,,FALSE
Yuan et al. 2003,,,32185932.7,1.58E-06,,,,,,FALSE
Yuan et al. 2003,,,39935843.52,1.21E-06,,,,,,FALSE
Yuan et al. 2003,,,50533282.86,8.44E-07,,,,,,FALSE
Yuan et al. 2003,,,62700972.38,6.30E-07,,,,,,FALSE
Yuan et al. 2003,,,84147765.78,3.93E-07,,,,,,FALSE
Yuan et al. 2003,,,160743299.7,1.60E-07,,,,,,FALSE
Yuan et al. 2003,,,332119762.7,6.80E-08,,,,,,FALSE
Yuan et al. 2003,,,463552371.8,4.69E-08,,,,,,FALSE
Yuan et al. 2003,,,646997937.3,3.15E-08,,,,,,FALSE
Yuan et al. 2003,,,756913056.2,2.56E-08,,,,,,FALSE
Yuan et al. 2003,,,957768715.9,1.85E-08,,,,,,FALSE
Yuan et al. 2003,,,1120479068,1.45E-08,,,,,,FALSE
Yuan et al. 2003,,,1260407774,1.19E-08,,,,,,FALSE
Yuan et al. 2003,,,1417811187,9.83E-09,,,,,,FALSE
Yuan et al. 2003,,,1594871598,8.00E-09,,,,,,FALSE
Yuan et al. 2003,,,2360931982,4.08E-09,,,,,,FALSE
Yuan et al. 2003,,,2987432670,2.81E-09,,,,,,FALSE
Yuan et al. 2003,,,4009280480,1.84E-09,,,,,,FALSE
Yuan et al. 2003,,,6294740825,1.02E-09,,,,,,FALSE
Yuan et al. 2003,,,10078761191,5.83E-10,,,,,,FALSE
Yuan et al. 2003,,,15516747086,3.60E-10,,,,,,FALSE
Yuan et al. 2003,,,20419782284,2.67E-10,,,,,,FALSE
